Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P5 - Delta Cptot,P8 - DSP [Pa],P9 - DSPtot [Pa],P10 - USP [Pa],P11 - USPtot [Pa]
DP 1,254.75000000000003,0.67600000000000027,0.18232500000000001,5.92659,3.22728,1.89636,4.3128,4.85965,5.92644
DP 2,895.25000000000057,0.228,0.183975,3.77253,1.21431,0.697246,3.04144,2.58351,3.64859
DP 3,685.25000000000034,0.316,0.185625,4.05987,1.47466,0.844985,3.20272,2.87492,3.94005
DP 4,107.75,0.58000000000000029,0.187275,9.35205,6.59241,4.26081,6.70888,8.93684,10.0051
DP 5,212.75,0.63600000000000023,0.188925,6.45142,3.7347,2.2326,4.65811,5.45831,6.52546
DP 6,527.75000000000023,0.46000000000000013,0.190575,4.40973,1.79626,1.03891,3.41111,3.24378,4.30924
DP 7,265.25000000000006,0.80400000000000049,0.192225,5.83232,3.13708,1.83135,4.24582,4.74751,5.81436
DP 8,496.25000000000023,0.34800000000000003,0.19387500000000002,4.51273,1.89082,1.08807,3.46472,3.34444,4.41013
DP 9,86.75,0.75600000000000045,0.195525,10.7861,8.02139,5.26431,7.71537,10.6574,11.7261
DP 10,1021.2500000000007,0.20400000000000001,0.19717500000000002,3.63922,1.09628,0.633964,2.97074,2.45358,3.51888
DP 11,475.25000000000023,0.98000000000000065,0.19882500000000003,4.6043,1.97647,1.12515,3.50457,3.4273,4.49281
DP 12,916.25000000000057,0.41200000000000009,0.20047500000000001,3.70302,1.15649,0.695409,3.0338,2.54692,3.61205
DP 13,485.75000000000023,0.90800000000000058,0.20212500000000003,4.5632,1.93826,1.10818,3.48618,3.38978,4.45531
DP 14,842.75000000000045,0.83600000000000052,0.203775,3.79482,1.23967,0.734498,3.07734,2.63191,3.69718
DP 15,506.75000000000023,0.43600000000000011,0.20542500000000002,4.46925,1.8516,1.07309,3.44756,3.30772,4.37336
DP 16,359.75000000000011,0.85200000000000053,0.207075,5.12469,2.46297,1.40973,3.80659,3.97207,5.03807
DP 17,653.75000000000034,0.45200000000000012,0.20872500000000002,4.09635,1.51052,0.888216,3.24651,2.93639,4.00177
DP 18,926.75000000000057,0.62000000000000022,0.21037500000000003,3.68224,1.13915,0.692705,3.02927,2.53382,3.59885
DP 19,716.75000000000034,0.91600000000000059,0.21202500000000002,3.99689,1.42021,0.827101,3.18045,2.82554,3.89055
DP 20,286.25000000000006,0.252,0.21367500000000003,5.61121,2.92432,1.70789,4.11777,4.51349,5.57992
DP 21,580.25000000000023,0.28400000000000003,0.21532500000000004,4.26966,1.66723,0.956098,3.32274,3.09093,4.15635
DP 22,538.25000000000023,0.52400000000000024,0.21697500000000003,4.37437,1.76444,1.02502,3.39543,3.21221,4.27765
DP 23,181.24999999999997,0.62800000000000022,0.218625,7.00701,4.27605,2.59047,5.02332,6.09398,7.16135
DP 24,1010.7500000000006,0.71600000000000041,0.22027500000000003,3.59912,1.06623,0.652424,2.98394,2.45198,3.51705
DP 25,454.25000000000017,0.268,0.22192500000000004,4.65469,2.02221,1.15815,3.53996,3.4855,4.55106
DP 26,317.75000000000006,0.54800000000000026,0.22357500000000002,5.37254,2.6979,1.56831,3.97184,4.25458,5.32079
DP 27,349.25000000000011,0.77200000000000046,0.22522500000000004,5.18992,2.52454,1.44461,3.84337,4.03957,5.10564
DP 28,118.25,0.90000000000000058,0.22687500000000005,8.97325,6.21587,3.89147,6.33824,8.3781,9.44617
DP 29,632.75000000000034,0.98800000000000066,0.22852500000000003,4.18026,1.58605,0.90461,3.26683,2.99474,4.05985
DP 30,821.75000000000045,0.26,0.23017500000000005,3.82014,1.26114,0.747646,3.09218,2.65772,3.72275
DP 31,191.74999999999997,0.39600000000000007,0.23182500000000006,6.77895,4.05355,2.45648,4.88651,5.84596,6.91328
DP 32,989.75000000000057,0.78000000000000047,0.23347500000000004,3.62816,1.09183,0.663131,2.9965,2.47721,3.54241
DP 33,65.75,0.276,0.23512500000000003,12.9015,10.134,6.92195,9.37455,13.3727,14.4416
DP 34,548.75000000000023,0.46800000000000014,0.23677500000000004,4.34448,1.73756,1.01047,3.37953,3.18271,4.24831
DP 35,443.75000000000017,0.74800000000000044,0.23842500000000005,4.72561,2.08891,1.18639,3.57044,3.5492,4.6149
DP 36,800.75000000000045,0.9240000000000006,0.24007500000000004,3.87963,1.31502,0.760714,3.10828,2.70053,3.76579
DP 37,643.25000000000034,0.22000000000000003,0.24172500000000005,4.12006,1.53112,0.894919,3.25461,2.95495,4.02017
DP 38,601.25000000000023,0.66000000000000025,0.24337500000000006,4.22844,1.63062,0.940276,3.30447,3.0545,4.11978
DP 39,296.75000000000011,0.61200000000000021,0.24502500000000005,5.55628,2.87251,1.6588,4.06709,4.43694,5.50335
DP 40,1000.2500000000006,0.74000000000000044,0.24667500000000003,3.62182,1.08608,0.654905,2.98798,2.46581,3.53102
DP 41,1084.2500000000007,0.21200000000000002,0.24832500000000005,3.53198,1.00583,0.620479,2.94876,2.38647,3.45168
DP 42,863.75000000000045,0.72400000000000042,0.24997500000000006,3.77968,1.22584,0.722806,3.06494,2.61264,3.67786
DP 43,1042.2500000000007,0.82000000000000051,0.25162500000000004,3.59256,1.05949,0.634555,2.96614,2.43083,3.49588
DP 44,769.25000000000045,0.332,0.25327500000000003,3.88466,1.31995,0.789189,3.13672,2.73152,3.7967
DP 45,223.25,0.93200000000000061,0.25492500000000007,6.42256,3.70539,2.1306,4.55614,5.34188,6.40883
DP 46,170.75,0.84400000000000053,0.25657500000000005,7.33707,4.59883,2.73296,5.16961,6.4015,7.46902
DP 47,853.25000000000045,0.23600000000000002,0.25822500000000004,3.76935,1.21604,0.731851,3.07342,2.61653,3.68145
DP 48,674.75000000000034,0.50800000000000023,0.25987500000000008,4.0653,1.48246,0.86606,3.22268,2.89871,3.96391
DP 49,706.25000000000034,0.3,0.26152500000000006,3.99048,1.41511,0.836978,3.18994,2.83222,3.8975
