"step","downstreamPressure_DP102_969.99999999999989_0.28_0.1815"
0.0,0.010800555
1000.0,-0.0012137586
2000.0,0.00958863
3000.0,0.015860992
4000.0,0.031167198
5000.0,0.052604757
6000.0,0.06234464
7000.0,0.091179386
8000.0,0.12669536
9000.0,0.16685712
10000.0,0.21709564
11000.0,0.24627396
12000.0,0.28897017
13000.0,0.32595032
14000.0,0.39779252
15000.0,0.44752258
16000.0,0.51551366
17000.0,0.59361273
18000.0,0.6652385
19000.0,0.7245647
20000.0,0.7937754
21000.0,0.83059144
22000.0,0.88085294
23000.0,0.92688274
24000.0,0.9590049
25000.0,0.9972539
26000.0,1.020041
27000.0,1.046237
28000.0,1.0813811
29000.0,1.107699
30000.0,1.10905
31000.0,1.1301401
32000.0,1.1610696
33000.0,1.1677032
34000.0,1.1839019
35000.0,1.2101387
36000.0,1.1841931
37000.0,1.2212566
38000.0,1.229084
39000.0,1.233023
40000.0,1.2369123
41000.0,1.2416459
42000.0,1.2598786
43000.0,1.2824109
44000.0,1.2636244
45000.0,1.2741544
46000.0,1.2816075
47000.0,1.2687876
48000.0,1.2904906
49000.0,1.2806454
50000.0,1.2992686
51000.0,1.3055153
52000.0,1.3053129
53000.0,1.3081675
54000.0,1.3202723
55000.0,1.3186076
56000.0,1.3145341
57000.0,1.3218967
58000.0,1.3253167
59000.0,1.3236082
60000.0,1.32178
61000.0,1.324676
62000.0,1.322968
63000.0,1.3205825
64000.0,1.3176038
65000.0,1.3180016
66000.0,1.3241652
67000.0,1.3330097
68000.0,1.3217254
69000.0,1.3295386
70000.0,1.3239396
71000.0,1.3341626
72000.0,1.3255098
73000.0,1.3299553
74000.0,1.3220329
75000.0,1.3057511
76000.0,1.319795
77000.0,1.3285644
78000.0,1.3155609
79000.0,1.322923
80000.0,1.3170749
81000.0,1.3270284
82000.0,1.3135691
83000.0,1.3293685
84000.0,1.3132188
85000.0,1.3093085
86000.0,1.3085346
87000.0,1.3097715
88000.0,1.3126276
89000.0,1.3261845
90000.0,1.3074383
91000.0,1.3140664
92000.0,1.3041817
93000.0,1.3098567
94000.0,1.305727
95000.0,1.2964396
96000.0,1.313323
97000.0,1.3037548
98000.0,1.3011587
99000.0,1.2856128
100000.0,1.3048013
101000.0,1.2950346
102000.0,1.300987
103000.0,1.3002775
104000.0,1.291065
105000.0,1.2908207
106000.0,1.2794695
107000.0,1.2696611
108000.0,1.2809532
109000.0,1.2966881
110000.0,1.2795037
111000.0,1.2782416
112000.0,1.2795677
113000.0,1.2641726
114000.0,1.2243993
115000.0,1.2309809
116000.0,1.2532076
117000.0,1.2714319
118000.0,1.2737389
119000.0,1.2739778
120000.0,1.2683837
121000.0,1.2656798
122000.0,1.2642746
123000.0,1.256037
124000.0,1.2610927
125000.0,1.2552576
126000.0,1.2614135
127000.0,1.2513252
128000.0,1.2520764
129000.0,1.2498174
130000.0,1.2506217
131000.0,1.243366
132000.0,1.2402601
133000.0,1.2338309
134000.0,1.2322501
135000.0,1.2306887
136000.0,1.2217252
137000.0,1.2312211
138000.0,1.2246269
139000.0,1.2237827
140000.0,1.2158766
141000.0,1.2128904
142000.0,1.2064478
143000.0,1.2149677
144000.0,1.2059047
145000.0,1.2107902
146000.0,1.194727
147000.0,1.2030935
148000.0,1.2001727
149000.0,1.1879518
150000.0,1.1911108
151000.0,1.186686
152000.0,1.1913007
153000.0,1.1664295
154000.0,1.1699438
155000.0,1.18227
156000.0,1.180544
157000.0,1.1742334
158000.0,1.1699649
159000.0,1.1647046
160000.0,1.1559801
161000.0,1.1577687
162000.0,1.1554048
163000.0,1.1540816
164000.0,1.1490448
165000.0,1.1403064
166000.0,1.1362357
167000.0,1.1356733
168000.0,1.129915
169000.0,1.1289663
170000.0,1.1252885
171000.0,1.1174147
172000.0,1.1196077
173000.0,1.1152843
174000.0,1.1125307
175000.0,1.1086954
176000.0,1.1094788
177000.0,1.1038336
178000.0,1.1020808
179000.0,1.0942953
180000.0,1.0942092
181000.0,1.0967919
182000.0,1.0794202
183000.0,1.0826873
184000.0,1.0854095
185000.0,1.0827878
186000.0,1.0786417
187000.0,1.0780921
188000.0,1.0796585
189000.0,1.070067
190000.0,1.0648545
191000.0,1.0611615
192000.0,1.0615444
193000.0,1.0594256
194000.0,1.055271
195000.0,1.0506005
196000.0,1.045514
197000.0,1.0423589
198000.0,1.042906
199000.0,1.0372944
200000.0,1.0378857
201000.0,1.0365067
202000.0,1.0310323
203000.0,1.0277046
204000.0,1.0223551
205000.0,1.022445
206000.0,1.0195743
207000.0,1.0154824
208000.0,1.0146773
209000.0,1.0121932
210000.0,1.0086555
211000.0,1.0065389
212000.0,1.0037237
213000.0,1.0009642
214000.0,0.996844
215000.0,0.9953645
216000.0,0.9932159
217000.0,0.989035
218000.0,0.98963
219000.0,0.9876827
220000.0,0.9819202
221000.0,0.9814265
222000.0,0.9814041
223000.0,0.97646827
224000.0,0.9747473
225000.0,0.9734521
226000.0,0.9697875
227000.0,0.96806824
228000.0,0.96646893
229000.0,0.96406585
230000.0,0.9613871
231000.0,0.9613184
232000.0,0.95922875
233000.0,0.95709306
234000.0,0.9537835
235000.0,0.95336664
236000.0,0.9529387
237000.0,0.95015025
238000.0,0.94935524
239000.0,0.94563735
240000.0,0.9448148
241000.0,0.94147956
242000.0,0.93770623
243000.0,0.93868995
244000.0,0.93607175
245000.0,0.9351743
246000.0,0.9330066
247000.0,0.9310595
248000.0,0.9296161
249000.0,0.9279352
250000.0,0.9263036
251000.0,0.92510706
252000.0,0.9240159
253000.0,0.9223373
254000.0,0.92069167
255000.0,0.91777897
256000.0,0.92089474
257000.0,0.9148619
258000.0,0.9144089
259000.0,0.9126691
260000.0,0.9117979
261000.0,0.9104336
262000.0,0.9094647
263000.0,0.9077793
264000.0,0.9069341
265000.0,0.90514886
266000.0,0.903095
267000.0,0.90242434
268000.0,0.9009243
269000.0,0.8992171
270000.0,0.8982147
271000.0,0.8961987
272000.0,0.8963907
273000.0,0.89471614
274000.0,0.893386
275000.0,0.8919383
276000.0,0.8927351
277000.0,0.8899543
278000.0,0.889199
279000.0,0.88766766
280000.0,0.886645
281000.0,0.88671255
282000.0,0.8854102
283000.0,0.88445854
284000.0,0.8824233
285000.0,0.88260216
286000.0,0.8805133
287000.0,0.8803652
288000.0,0.87854123
289000.0,0.8771048
290000.0,0.8765434
291000.0,0.8766601
292000.0,0.8749366
293000.0,0.8746593
294000.0,0.87273896
295000.0,0.8716189
296000.0,0.8703435
297000.0,0.87084633
298000.0,0.8689633
299000.0,0.86867785
300000.0,0.868132
301000.0,0.8659375905990601
302000.0,0.8656525611877441
303000.0,0.8652957677841187
304000.0,0.8646230697631836
305000.0,0.8632826805114746
306000.0,0.8632814884185791
307000.0,0.862839937210083
308000.0,0.8616739511489868
309000.0,0.8608181476593018
310000.0,0.8607429265975952
311000.0,0.8597137331962585
312000.0,0.858558177947998
313000.0,0.8584548234939575
314000.0,0.8575305342674255
315000.0,0.8570064902305603
316000.0,0.8562705516815186
317000.0,0.8544023036956787
318000.0,0.8539433479309082
319000.0,0.8530640602111816
320000.0,0.8538341522216797
